,City,Latitude,Longitude,Max Temperature,Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
0,jamestown,42.097,-79.2353,25.05,53,75,4.63,US,1627062319
1,xam nua,20.4197,104.0439,20.49,100,100,0.8,LA,1627062578
2,mizusawa,39.1333,141.1333,21.14,98,42,0.71,JP,1627062580
3,rikitea,-23.1203,-134.9692,22.04,74,73,7.99,PF,1627062581
4,dikson,73.5069,80.5464,7.04,68,41,4.76,RU,1627062415
5,ayan,56.45,138.1667,15.14,88,80,3.07,RU,1627062583
6,punta arenas,-53.15,-70.9167,5.06,70,0,13.38,CL,1627062585
7,hilo,19.7297,-155.09,26.82,94,90,2.06,US,1627062450
8,qaanaaq,77.484,-69.3632,6.14,62,78,0.79,GL,1627062588
9,ribeira grande,38.5167,-28.7,23.22,88,75,8.23,PT,1627062589
10,thompson,55.7435,-97.8558,23.09,35,1,9.26,CA,1627062417
11,sault sainte marie,46.5168,-84.3333,25.16,53,1,5.66,CA,1627062592
12,angoche,-16.2325,39.9086,22.81,75,96,7.8,MZ,1627062593
13,pozo colorado,-23.4923,-58.7972,34.73,14,0,5.28,PY,1627062401
14,honiara,-9.4333,159.95,24.4,87,45,1.88,SB,1627062597
15,maroua,10.591,14.3159,27.46,64,66,2.64,CM,1627062598
16,gambela,8.25,34.5833,21.17,97,100,1.64,ET,1627062599
17,waingapu,-9.6567,120.2641,21.81,81,5,2.94,ID,1627062600
18,bluff,-46.6,168.3333,6.0,85,99,4.29,NZ,1627062602
19,presidente dutra,-5.29,-44.49,34.74,26,1,3.74,BR,1627062604
20,martapura,-3.4167,114.85,24.05,100,92,0.51,ID,1627062605
21,nanortalik,60.1432,-45.2371,6.61,83,52,6.56,GL,1627062607
22,kondinskoye,59.6481,67.41,14.95,78,99,2.65,RU,1627062608
23,atar,20.5169,-13.0499,39.69,15,0,5.76,MR,1627062610
24,port alfred,-33.5906,26.891,11.82,65,76,2.73,ZA,1627062611
25,atuona,-9.8,-139.0333,24.78,76,57,4.76,PF,1627062613
26,kamenka,51.3223,42.7678,17.76,58,1,2.89,RU,1627062614
27,hobart,-42.8794,147.3294,6.92,80,57,0.89,AU,1627062454
28,opotiki,-38.0833,177.2833,6.33,92,38,2.45,NZ,1627062617
29,beloha,-25.1667,45.05,17.67,58,83,4.46,MG,1627062619
30,zvishavane,-20.3267,30.0665,12.63,51,83,4.23,ZW,1627062620
31,mataura,-46.1927,168.8643,5.27,92,86,1.4,NZ,1627062621
32,ugoofaaru,5.6667,73.0,28.1,78,65,5.92,MV,1627062623
33,bhuj,23.2667,69.6667,29.07,75,96,7.49,IN,1627062624
34,saint-louis,16.3333,-15.0,35.8,21,23,3.36,SN,1627062625
35,qurayyat,31.3318,37.3428,32.1,25,0,8.23,SA,1627062626
36,hermanus,-34.4187,19.2345,11.06,75,0,5.37,ZA,1627062427
37,yellowknife,62.456,-114.3525,19.62,100,40,0.45,CA,1627062629
38,itupiranga,-5.1347,-49.3267,36.18,25,39,1.76,BR,1627062630
39,viesite,56.3475,25.5551,16.96,67,7,2.83,LV,1627062631
40,carnarvon,-24.8667,113.6333,17.04,65,40,5.14,AU,1627062633
41,busselton,-33.65,115.3333,9.49,62,93,7.08,AU,1627062634
42,lebu,-37.6167,-73.65,11.95,79,100,7.24,CL,1627062635
43,saint-philippe,-21.3585,55.7679,20.77,73,67,3.01,RE,1627062637
44,gornopravdinsk,60.05,69.9,13.92,85,69,2.93,RU,1627062638
45,mayumba,-3.432,10.6554,21.75,84,63,2.83,GA,1627062639
46,namikupa,-10.8333,39.6,21.48,70,58,2.73,TZ,1627062642
47,los llanos de aridane,28.6585,-17.9182,23.4,77,20,9.77,ES,1627062643
48,albany,42.6001,-73.9662,26.19,57,32,2.48,US,1627062362
49,pangody,65.85,74.4859,12.08,92,73,13.69,RU,1627062646
50,broome,42.2506,-75.833,25.85,55,40,0.89,US,1627062381
51,gilgit,35.9221,74.3087,29.64,36,3,1.23,PK,1627062650
52,chhabra,24.6667,76.8333,26.86,83,100,3.41,IN,1627062651
53,atasu,48.6814,71.6433,24.48,33,2,4.79,KZ,1627062652
54,mareeba,-17.0,145.4333,17.4,96,18,1.11,AU,1627062654
55,deputatskiy,69.3,139.9,9.78,78,91,1.34,RU,1627062655
56,ushuaia,-54.8,-68.3,4.81,70,40,6.17,AR,1627062656
57,samarai,-10.6167,150.6667,26.45,85,82,3.69,PG,1627062215
58,avarua,-21.2078,-159.775,23.03,88,90,2.57,CK,1627062451
59,shakhovskaya,56.0283,35.5097,13.31,79,95,2.48,RU,1627062660
60,kodinsk,58.6881,99.1844,15.99,69,7,1.13,RU,1627062661
61,bambous virieux,-20.3428,57.7575,22.14,73,75,3.09,MU,1627062078
62,hervey bay,-25.2986,152.8535,21.13,82,34,8.14,AU,1627062663
63,cockburn town,21.4612,-71.1419,30.98,66,40,7.2,TC,1627062665
64,villa bruzual,9.3328,-69.1208,27.42,85,75,1.29,VE,1627062498
65,shache,38.4167,77.2406,26.97,32,0,2.54,CN,1627062190
66,hearst,49.6835,-83.6665,26.14,27,32,3.94,CA,1627062668
67,parainen,60.3067,22.301,19.01,53,8,6.44,FI,1627062670
68,georgetown,5.4112,100.3354,28.83,82,20,0.0,MY,1627062671
69,saint george,37.1041,-113.5841,35.26,47,94,1.34,US,1627062432
70,goundam,16.4145,-3.6708,37.67,29,32,4.08,ML,1627062673
71,souillac,-20.5167,57.5167,22.21,73,75,3.09,MU,1627062674
72,kaitangata,-46.2817,169.8464,5.52,78,55,2.24,NZ,1627062676
